candidato;cargo;departamento;Plan de Gobierno ;;;;;;;;;
CARLOS NEMO RIVERO AUZA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-PATRIA-SOL-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
CESAR LUIS DOCKWEILER SUAREZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/INNOVACION-HUMANA-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
FERNANDO HENRRY VALENCIA AGUILERA;Alcalde;La Paz;NO SE ENCONTRÓ;;;;;;;;;
FRANCISCO XAVIER ITURRALDE TORRICO;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/PROGRAMA-DE-GOBIERNOS-DEPARTAMENTAL-LA-PAZ.pdf;;;;;;;;;
HERNAN IVAN ARIAS DURAN;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMA-POR-EL-BIEN-COMUN-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
HERNAN RODRIGO RIVERA NAVA;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
ISAAC FELIPE FERNANDEZ CANO;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-UNIDOS-POR-LOS-PUEBLOS-DEPARTAMENTO-DE-LA-PAZ-2.pdf;;;;;;;;;
JHONNY DARIO PLATA CHALAR;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/JALLALA.pdf;;;;;;;;;
JORGE DULON FERNANDEZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/MTS.pdf;;;;;;;;;
LUIS EDUARDO SILES PEREZ;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
MIGUEL ANTONIO ROCA SANCHEZ;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
OSCAR MANUEL SOGLIANO HELGUERO;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMATE.pdf;;;;;;;;;
RAUL DAZA QUIROGA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/programa-de-Gobierno-Departamental-la-paz-fri.pdf;;;;;;;;;
RICARDO ELOY CUEVAS VERA;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
WALDO ALBARRACIN SANCHEZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/VENCEREMOS.pdf;;;;;;;;;
ALFREDO SOLARES GARRADO;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-ALIANZA-PATRIA-MUNICIPIO-DE-SANTA-CRUZ-DE-LA-SIERRA-.pdf;;;;;;;;;
ANGELICA SOSA ARREAZA;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-AC-SC-PARA-TODOS-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
CARLOS MANUEL SAAVEDRA SAAVEDRA;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-MUNI-MUNICIPIO-DE-SANTA-CRUZ-DE-LA-SIERRA-VOS.pdf;;;;;;;;;
FELIX ENRIQUE OROS RIVERO;Alcalde;Santa Cruz;NO SE ENCONTRO;;;;;;;;;
INGRID ROSARIO SCHAMISSEDDINE SOMOZA;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-AGRUPACION-UNIDOS-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA-.pdf;;;;;;;;;
JOSE GARY AÑEZ SANCHEZ;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA-PRIMERO-SANTA-CRUZ.pdf;;;;;;;;;
ORLANDO PEÑA BALDERRAMA;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-ALIANZA-UNIDOS-POR-LOS-PUEBLOS-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
OSCAR VARGAS ORTIZ;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-AGRUPACION-CIUDADANA-SOL-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
SOO HYUN CHUNG;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-FUERZA-Y-ESPERANZA-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
NESTOR YUJRA QUISPE;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
KURT EMMIL REINTSCH SAN MARTIN;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/LIBRE.pdf;;;;;;;;;
LEONARDO LOZA ;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PLAN-DE-GOBIERNO-ALIANZA-UNIDOS-POR-LOS-PUEBLOS.pdf;;;;;;;;;
CARLOS ALBERTO SUBIRANA SUAREZ;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-ALIANZA-DEPARTAMENTAL-TODOS.pdf;;;;;;;;;
BRANKO GORAN MARINKOVIC JOVICEVIC;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-DEMOCRATAS-DEPARTAMENTAL.pdf;;;;;;;;;
EDUARDO PEREIRA ALCOCER ;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-ALIANZA-UNIDOS-POR-LOS-PUEBLOS-DEPARTAMENTAL-SANTA-CRUZ.pdf;;;;;;;;;
FLAVIO EUDALDO MERLO MAYDANA;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMATE.pdf;;;;;;;;;
GREGORIO MERLO CHURA;Gobernador;La Paz;No se encuentra;;;;;;;;;
YOSMAR ESPEJO VELA;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMA-POR-EL-BIEN-COMUN-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
JOSE JUVENAL ARISPE PEÑARRIETA;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-PDC.pdf;;;;;;;;;
JHON GUALBERT MENDOZA GARCIA;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2026/01/PROGRAMA-DE-GOBIERNO-FRI.pdf;;;;;;;;;
GIOVANN ARZABE GARCIA;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMAS-DE-GOBIERNO-LIBRE.pdf;;;;;;;;;
CRISTIAN TASTACA AQUINO;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-PDC.pdf;;;;;;;;;
FRANCISCO JAVIER TARQUI TORREZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMATE.pdf;;;;;;;;;
EYNAR IVAN VISCARRA ANAVI;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/SUMA-POR-EL-BIEN-COMUN-GAM-DE-EL-ALTO.pdf;;;;;;;;;
RURY DANIEL BALLADARES MOLINA;Alcalde;La Paz;No se encuentra;;;;;;;;;
